section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1,1726564022870616664,1726564023160871664,290
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,2,1726564023245997664,1726564023481252664,235
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,3,1726564039140777664,1726564039355906664,215
