recording id,timestamp [ns],name,type
171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564009276000000,recording.begin,recording
171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564023815368000,Picture_01_start,recording
171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564027896061000,Picture_01_end,recording
171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564027950334000,Picture_02_start,recording
171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564031988649000,Picture_02_end,recording
171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564032049076000,Picture_03_start,recording
171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564036095420000,Picture_03_end,recording
171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564036141001000,Picture_04_start,recording
171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564040177727000,Picture_04_end,recording
171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564040237968000,Picture_05_start,recording
171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564044278813000,Picture_05_end,recording
171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564044338000000,recording.end,recording
