section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564026831520664,-0.045776,0.404358,-0.829697,0.052246,-0.205078,1.019043,-3.166395276410393,-11.613838376266012,131.23959610292079,0.407968670129776,-0.016713041812181473,-0.10346522927284241,0.9069603085517883
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564026840243664,0.013351,0.528336,-0.886917,0.047363,-0.21582,0.998535,-3.1641311531836314,-11.617299207024137,131.24005089995853,0.4079650938510895,-0.016743022948503494,-0.10348455607891083,0.9069591760635376
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564026848966664,0.013351,0.528336,-0.703812,0.055664,-0.216309,0.999512,-3.163625361017064,-11.618618281337344,131.2401510406015,0.40796399116516113,-0.016751691699028015,-0.10349318385124207,0.9069585204124451
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564026857689664,0.074387,0.402451,-0.524521,0.055176,-0.209961,0.999023,-3.1613659639850518,-11.622188467366636,131.2406041499714,0.40796035528182983,-0.01678202673792839,-0.10351338982582092,0.9069573283195496
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564026869421664,-0.045776,0.648499,-0.581741,0.043457,-0.19873,1.009766,-3.156803473996205,-11.620903076733478,131.24152434828434,0.40795794129371643,-0.016812672838568687,-0.10348713397979736,0.9069608449935913
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564026881153664,0.015259,0.831604,-0.829697,0.050293,-0.210449,0.999023,-3.154426990536798,-11.621839218271761,131.24200258470148,0.40795576572418213,-0.016834430396556854,-0.10348613560199738,0.9069615006446838
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564026892885664,-0.165939,0.585556,-0.764847,0.041992,-0.206055,0.999512,-3.150562012925796,-11.619834185234053,131.24278267233444,0.40795424580574036,-0.0168570876121521,-0.10345666110515594,0.9069651365280151
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564026899485664,-0.228882,0.465393,-0.829697,0.039551,-0.208496,1.020508,-3.1466606295382826,-11.619706513447218,131.24356803610019,0.40795162320137024,-0.016886794939637184,-0.10344187915325165,0.9069674611091614
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564026906085664,-0.106812,0.221252,-0.03624,0.039062,-0.203613,1.005371,-3.1402549306705545,-11.619437672161139,131.24485729105044,0.4079473614692688,-0.01693536527454853,-0.10341714322566986,0.906971275806427
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,1726564026912685664,0.074387,0.097275,0.146866,0.043945,-0.209961,1.007324,-3.1321608415959266,-11.619551023795172,131.2464870017835,0.40794169902801514,-0.01699836552143097,-0.10338946431875229,0.9069758057594299
