section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,26,1726564019097180664,1726564019132175664,35,57.28867627817925,3.6496493259683915,1641.3615077184734,2182.2450971182807
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,27,1726564019397429664,1726564019432434664,35,71.31377306628073,4.548356263204517,2089.3861358257222,2725.4237245441323
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,28,1726564019862812664,1726564019907938664,45,84.86982543721788,5.415560466142977,1886.0753633141799,2710.5497786434016
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,29,1726564020098067664,1726564020133067664,35,56.6651254738979,3.6086397002059383,1628.8091684463743,2140.6826088091725
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,30,1726564020453448664,1726564020543450664,90,184.61762961196573,11.90551832409262,2172.9170667096705,2913.802032590252
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,31,1726564021068970664,1726564021108960664,40,65.30496204050284,4.2187467849002855,1676.727916577252,2212.387597847891
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,32,1726564021394340664,1726564021429340664,35,61.79376875463991,3.9895328581441487,1776.327778349398,2337.8021374321893
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,33,1726564021799724664,1726564021844723664,45,99.08382710866415,6.397978995142337,2209.2399965413265,3225.827760505819
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,34,1726564022159978664,1726564022500359664,340,632.6952302029987,40.84955180425328,3118.7150508663844,5194.100058629085
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,35,1726564022620361664,1726564022650487664,30,55.36451044304145,3.645674476109995,1969.930558096802,2487.030829448247
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,36,1726564022845616664,1726564023030758664,185,763.8939182448462,49.0025959749873,6330.899161158415,18454.662086589295
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,37,1726564023255998664,1726564023396125664,140,470.91915504013747,30.38312700685442,4859.575843049957,12666.942372864782
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,38,1726564024216890664,1726564024246890664,30,41.752466154341434,2.6825518810042586,1365.5033586367474,1630.2945470249444
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,39,1726564024372017664,1726564024432143664,60,209.31236949961365,13.34964668862428,3625.0708330930206,6098.2131679850745
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,40,1726564024617272664,1726564024667273664,50,172.42923994187154,11.009241324826922,3539.3896803019366,5613.869810460542
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,41,1726564025267908664,1726564025302909664,35,71.90286228985117,4.620596354179822,2091.2641202214754,2759.456627332251
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,42,1726564025503040664,1726564025533163664,30,48.73734975918348,3.128602132179116,1629.0408154543666,2064.3919156691295
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,43,1726564025728291664,1726564025773292664,45,111.88188026696079,7.180503411654772,2506.1199553470497,3769.6250726579146
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,44,1726564026063672664,1726564026103673664,40,92.63538878502224,5.926661910731817,2322.355962597703,3368.1684423571483
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,45,1726564026348929664,1726564026388928664,40,78.85500139313834,5.049498038806328,1967.7401724416104,2763.217809433161
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,46,1726564027324820664,1726564027359830664,35,67.04158883128987,4.305947499591822,1936.0172872829608,2580.833306853014
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,47,1726564027850329664,1726564027880333664,30,37.36532899235876,2.4002939985379546,1262.4630831445186,1521.2876368094203
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,48,1726564028175585664,1726564028210585664,35,69.13643883201725,4.441334443401611,1986.621289597538,2674.800522143931
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,49,1726564028365713664,1726564028385846664,20,18.992809074298833,1.2233237282116,951.1747591741336,1045.0077896515297
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,50,1726564028791095664,1726564028856222664,65,203.4699259713859,13.011140438848686,3139.9696423872247,4859.22324977995
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,51,1726564029056353664,1726564029096477664,40,76.06764797205508,4.852947231691229,1904.4856175943944,2667.310814566978
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,52,1726564029281604664,1726564029341605664,60,300.6847931180169,19.218849847168425,5016.488459586594,8715.63405564412
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,53,1726564029546859664,1726564029556859664,10,8.56714871498566,0.5487283751385292,860.9327035557292,869.1858802937667
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,54,1726564029807114664,1726564029827123664,20,17.990517735980333,1.1508083842811656,908.023872068904,963.9305303756181
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,55,1726564029992242664,1726564030022242664,30,31.654157017778836,2.0354728542272764,1057.7605914961634,1252.3970387614504
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,56,1726564030577752664,1726564030602877664,25,23.64220716092485,1.5195818455349173,940.5083523678286,1096.1766075625264
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,57,1726564031473643664,1726564031508645664,35,64.29149349183196,4.1141979232911625,1839.6116809834923,2449.2373253756705
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,58,1726564031819024664,1726564031834024664,15,12.78481673440445,0.8187653394893637,861.7614682443958,879.4623107106461
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,59,1726564032134279664,1726564032174280664,40,87.1145848098633,5.579283200732911,2177.283887301158,3187.9918393409453
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,60,1726564032284407664,1726564032324408664,40,108.46190787435536,6.949457800782673,2737.509583123698,3978.5992983109763
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,61,1726564032970049664,1726564033025045664,55,74.76148071563328,4.80722734061335,1724.2963463566518,2342.071056375155
b7ffdddf-c837-4cfb-847c-62501b01428b,171c4f52-3f2b-49b3-a00a-1e745e8c81dc,62,1726564033245299664,1726564033320300664,75,243.09885555501788,15.442154586233382,3256.49094606885,4874.231003247252
